pinyin	phoneme	syll	syll_n	letter_n	sound_n	
fen3sui4	fen3sui4	['fen', 'sui']	2	6	6	
zhu4zi	$u4zi	['zhu', 'zi']	2	5	4	
bi4yu4	bi4yu4	['bi', 'yu']	2	4	4	
hong2bao3shi2	hoŋ2b#3$i2	['hong', 'bao', 'shi']	3	10	7	
lv4bao3shi2	lv4b#3$i2	['lv', 'bao', 'shi']	3	8	6	
sheng4zai1	$eŋ4z#1	['sheng', 'zai']	2	8	5	
ne2	ne2	['ne']	1	2	2	
liu2bian4	liu2bian4	['liu', 'bian']	2	7	7	
jia1de2	jia1de2	['jia', 'de']	2	5	5	
yi3sa4jia1	yi3sa4jia1	['yi', 'sa', 'jia']	3	7	7	
bao2	b#2	['bao']	1	3	2	
chan1	$an1	['chan']	1	4	3	
wei3ba	w#3ba	['wei', 'ba']	2	5	4	
ya4ba1dun4	ya4ba1dwən4	['ya', 'ba', 'dun']	3	7	8	
ma3nao3	ma3n#3	['ma', 'nao']	2	5	4	
shi1zi0tou2	$i1zi0t#2	['shi', 'zi', 'tou']	3	8	6	
hu1han3	hu1han3	['hu', 'han']	2	5	5	
